text,sentiment,category,keyword,like_count
정귄 끝나면 깜빵가라,부정,기관 운영 등 기타,비난,11
국민연금이 구내주식 비숭 50퍼센트로 리벨런싱,중립,리밸런싱,리벨런싱,4
리벨런싱 유해는 누가 지시 했나요?,중립,리밸런싱,질문,4
"국민연금이 너네들 돈벌려고투자하나
연금운영해야는데",부정,기금운용성과,비난,5
저 정도 규모의 기금으로 연간 18%넘는 수익율은 경이롭다,긍정,기금운용성과,수익률,3
사법내란수괴 이재명 탄핵하라! 보완수사권폐지하면 멸망할거다! 국민의 바램은 삐뚫어진 판검사 처벌이지! 사법제도 붕괴가 아니다! 경제내란수괴 이재명 탄핵하라! 겁도 없고 무식한 녀석아 국제금융시장이 그리 만만하냐? 1400조 국민연금 가지고 돈질하면 될 줄 알았냐?,부정,기관 운영 등 기타,비난,1
이재명 연기금주가조작이 최악질이지! 생각해봐라! 삼전사라 연기금 들어간다고 말하고 미리 삼전사면 무조건 돈 벌지! 연기금은 무조건 특검하고 경제내란수괴 이재명 탄핵해야 한다!,부정,기관 운영 등 기타,비난,9
"5월말 기준이라니, 손바닥으로 하늘을 가리시죠. 부당한 개입에 대해 반드시 책임져야 할 겁니다. 민족의 역적.",부정,기관 운영 등 기타,비난,0
잘 하는 국민연금 이래라 저래라 한 정부 때문. 제발 정치가 관여하지마라. 이 정부는 뭘 한다고 요란했지 뭐 구멍안나는데가 없어.,부정,기관 운영 등 기타,비난,3
벗뜨 그러나~~~~ 7월 한달동안 엄청나게 털렸을것이고.....뭐 그게 국민연금공단 탓은 아니지만....,중립,기관 운영 등 기타,정보,3
너 규정 안 지키면 윤석렬과 같은 방 쓰게 된다.,부정,기관 운영 등 기타,규정 비판,3
국민연금 규정을 왜 안지키냐!!! 혼난다,부정,기관 운영 등 기타,규정 비판,2
"국민연금 돈 다 빼라
코스피500",부정,국내주식투자,코스피,5
"레버리지 가 미친 거다

누가. 햇너",중립,기관 운영 등 기타,레버리지,0
"그럼 국민연금도 그전부터 우리 주식시장은 버린 상태였구나, 젠장. 미국 주식으로 떠나야하나",부정,국내주식투자,미국 주식,0
"연기금..국민돈갖고 국민돈등쳐먹으니
웃음나오지?
너야월급이나쳐받고
성과급에보너스받으면그만이지만
증시가폭락할땐 보완대책도세워야지...사기꾼xx들..
지들입장만고수하네",부정,기금운용성과,사기,1
"주식 폭락에 손해본 투자자들의 원망할 대상!
맞네요, 함부로 주식회생용으로 이용하면 안되겠네요.",중립,기금운용성과,투자자 원망,0
"연금 시장에서 진짜. 쥐똥만큼 삼
그래도 하방시는 그 눈꼽만큼이 증시를 받처주는 기능이 큼",중립,기금운용성과,증시 기능,3
"이잼 홧팅, 항상 응원합시다.",긍정,기관 운영 등 기타,응원,2
67월에 다빠졌어,중립,리밸런싱,매도 폭탄,0
리밸런싱 유예 하는 바람에 개미돈을 외국인들에게 가저다 바치셨군요  ㅅㅂ,부정,리밸런싱,매도 폭탄,1
국민연금으로 정치질하고 뻔뻔하게 방송으로 물타기를 시도하다니 ㅋㅋ 기금운용위원회야말로 가장 시급하게 특검 도입해서 파헤쳐야한다.,부정,기금운용성과,기금운용 비판,4
"이분 문재인정권때 이사장 하던 분 맞죠?
흠...",중립,기관 운영 등 기타,이사장,1
"연금 자기나라 주식비중 30%까지 끌어올린 연금도 국민연금밖에 없죠???

도대체 국민연금이 국민 개인돈이라는 것도 모르는 개레기를 더 자리 앉혀 놓으니 이 손실이 커지지",부정,국내주식투자,주식 비중,2
연금이 공적자금이야??? 왜 국가경제에 기여해;;;;;((( 국민 개인돈이야 ….,부정,기금운용성과,기금 비판,1
결국 그거네 기관이 팔면 주가 떨어진다고 ㅈㄹ 안 팔면 연금 줄어든다고 ㅈㄹ,부정,기금운용성과,주가 영향,0
폐지가 답이다,부정,기금운용성과,제도 비판,2
이번 주가 하락은 인재로 잼데믹이라고 합니다.역사에 기록 될 일입니다,중립,국내주식투자,주가 하락,2
대충추정하면 200조에서 150조는.토해냇을듯 5월말기준은 최고점일때고 ㅋㅋ. 코미디인가,부정,기금운용성과,손실 추정,1
회의는 비공개 정부가 개입해서 포트폴리오 바꾸는게 국민연금을 볼모로해서 주가방어 환율방어 하는게 정상이냐? 정권 바뀌면 특검해서 아주 탈탈 털어버려야 한다 노후자금을 무슨 주머니 쌈짓돈 꺼내서 사용하냐,부정,기금운용성과,정부 개입,7
6월~7월이 빠져 있으니 알수 없는 일이군,중립,기관 운영 등 기타,정보 공유,0
근저당 이재명 탄핵하라,부정,기관 운영 등 기타,정치적 발언,1
국민연금 300조 증발 ㅋㅋ 국민연금이 재명이 비상금이니?,부정,기금운용성과,기금 고갈,2
"여기 댓글다는 연금탓 하는 애들 얼른 파산해서 감방가면 좋겠다
꼬시네",부정,기관 운영 등 기타,비판,2
